"Scénario","Horodatage","Demande directe non pilotable","Demande directe pilotable","Demande pour électrolyse"
"S1","2050-01-04 02:00:00",22.26347508,15.36789685,"24,26998551"
"S1","2050-01-04 03:00:00",22.84460597,15.17126745,"24,18483084"
"S1","2050-01-04 04:00:00",21.60341008,15.62521399,"24,31643854"
"S1","2050-01-04 05:00:00",20.15104554,16.11312441,"24,52654595"
"S1","2050-01-04 06:00:00",19.1526387,15.88549919,"24,2509095"
"S1","2050-01-04 07:00:00",20.2833122,7.534526137,"25,23160232"
"S1","2050-01-04 08:00:00",20.89857127,7.431286102,"26,84742692"
"S1","2050-01-04 09:00:00",22.08800143,10.22262205,"27,20755258"
"S1","2050-01-04 10:00:00",23.5118967,14.45969995,"27,20755258"
"S1","2050-01-04 11:00:00",24.55525614,16.43416093,"27,20755258"
"S1","2050-01-04 12:00:00",24.10628361,16.48332836,"27,20755258"
"S1","2050-01-04 13:00:00",26.16215228,16.30287064,"27,20755258"
"S1","2050-01-04 14:00:00",27.76838848,10.50249267,"27,20755258"
"S1","2050-01-04 15:00:00",26.87019557,6.734711498,"27,02680748"
"S1","2050-01-04 16:00:00",26.34082815,6.483545314,"24,45708943"
"S1","2050-01-04 17:00:00",26.05643243,7.149505622,"24,28936672"
"S1","2050-01-04 18:00:00",26.8496793,7.243790334,"24,41107586"
"S1","2050-01-04 19:00:00",28.61230627,7.402026265,"24,42865798"
"S1","2050-01-04 20:00:00",29.23914482,7.070292343,"24,35113732"
"S1","2050-01-04 21:00:00",28.25488041,7.767747326,"24,29372293"
"S1","2050-01-04 22:00:00",23.32539144,11.75308562,"24,71369462"
"S1","2050-01-04 23:00:00",20.92296878,14.0606559,"24,77025295"
"S1","2050-01-05 00:00:00",23.72756311,12.29664578,"24,88316789"
"S1","2050-01-05 01:00:00",18.62005066,17.83890147,"25,09988776"
"S1","2050-01-05 02:00:00",18.18249567,16.67686262,"25,14322994"
"S1","2050-01-05 03:00:00",19.1737449,16.66553041,"25,03626134"
"S1","2050-01-05 04:00:00",18.34536634,16.69250315,"25,13840351"
"S1","2050-01-05 05:00:00",17.29672867,17.09287905,"25,27518775"
"S1","2050-01-05 06:00:00",17.50014814,18.38917455,"24,83659597"
"S1","2050-01-05 07:00:00",21.23431477,18.4510261,"25,87515813"
"S1","2050-01-05 08:00:00",26.13098342,19.81922087,"27,20751446"
"S1","2050-01-05 09:00:00",29.31790785,20.69935731,"27,20755258"
"S1","2050-01-05 10:00:00",30.31282231,21.49060494,"27,20755258"
"S1","2050-01-05 11:00:00",29.75956989,21.9605558,"27,20755258"
"S1","2050-01-05 12:00:00",27.66344915,23.93197298,"27,20755258"
"S1","2050-01-05 13:00:00",28.53080164,22.05052357,"27,20755258"
"S1","2050-01-05 14:00:00",29.6137883,14.7883404,"27,20755258"
"S1","2050-01-05 15:00:00",30.06129093,13.33903503,"25,81906306"
"S1","2050-01-05 16:00:00",30.33310324,13.54508215,"24,65283612"
"S1","2050-01-05 17:00:00",31.16882493,9.839208369,"24,41436597"
"S1","2050-01-05 18:00:00",32.67595948,8.964139552,"24,03799953"
"S1","2050-01-05 19:00:00",33.93259411,9.016374299,"23,78987869"
"S1","2050-01-05 20:00:00",33.64182515,9.530876711,"23,78175281"
"S1","2050-01-05 21:00:00",30.83702753,9.927994955,"24,63395067"
"S1","2050-01-05 22:00:00",24.22178488,13.53497875,"25,20948459"
"S1","2050-01-05 23:00:00",20.86229742,15.70314578,"25,51786823"
"S1","2050-01-06 00:00:00",24.52948015,13.04387465,"25,09449613"
"S1","2050-01-06 01:00:00",23.64971884,13.5569733,"25,26381697"
"S1","2050-01-06 02:00:00",22.61791847,14.1297211,"25,29276159"
"S1","2050-01-06 03:00:00",23.43018226,14.09910878,"25,19368643"
"S1","2050-01-06 04:00:00",22.60573372,14.18808073,"25,24664084"
"S1","2050-01-06 05:00:00",21.61418216,14.25004962,"25,34613199"
"S1","2050-01-06 06:00:00",21.73468282,10.9197953,"25,00015756"
"S1","2050-01-06 07:00:00",25.48900652,12.61772649,"17,48378828"
"S1","2050-01-06 08:00:00",30.29977555,17.37345308,"23,52677599"
"S1","2050-01-06 09:00:00",33.3694685,19.46784162,"24,26039549"
"S1","2050-01-06 10:00:00",34.17469179,21.25446213,"25,08945537"
"S1","2050-01-06 11:00:00",33.3028396,23.25878195,"26,54775364"
"S1","2050-01-06 12:00:00",31.06323542,24.15709533,"27,20742362"
"S1","2050-01-06 13:00:00",31.84185183,23.11321778,"27,20024616"
"S1","2050-01-06 14:00:00",32.71839382,18.68245233,"20,07547002"
"S1","2050-01-06 15:00:00",33.17450995,12.88292698,"0,283330252"
"S1","2050-01-06 16:00:00",33.46868135,10.15474687,"1,68444E-05"
"S1","2050-01-06 17:00:00",34.20269138,8.351514363,"2,61494E-06"
"S1","2050-01-06 18:00:00",35.51117759,9.203257323,"1,91306E-06"
