heures,d2025,e2025,d2030,e2030,d2035,e2035,d2040,e2040,d2045,e2045,d2050,e2050
0,28.6900142,0.0,28.8740352234,4.0327377239999995,29.0580562468,8.065475447999999,29.2420772702,12.098213172,29.4260982936,16.130950895999998,29.610119317,20.16368862
1,31.2084578,0.0,30.2466390344,4.658797768,29.284820268799997,9.317595536,28.3230015032,13.976393304,27.3611827376,18.635191072,26.399363972,23.29398884
2,27.6996061,0.0,27.781197124000002,4.337259276,27.862788148,8.674518552,27.944379171999998,13.011777828000001,28.025970196,17.349037104,28.107561219999997,21.68629638
3,27.9874884,0.0,28.395328936200002,4.023938934,28.8031694724,8.047877868,29.2110100086,12.071816802,29.6188505448,16.095755736,30.026691081,20.11969467
4,28.1626729,0.0,28.933541934000004,4.023781054,29.704410968,8.047562108,30.475280001999998,12.071343162,31.246149036,16.095124216,32.01701807,20.11890527
5,28.0213627,0.0,28.935007114,4.0237367200000005,29.848651528,8.047473440000001,30.762295942,12.07121016,31.675940356,16.094946880000002,32.58958477,20.1186836
6,29.0016469,0.0,29.646300960000005,4.02381299,30.29095502,8.04762598,30.935609080000003,12.071438969999999,31.58026314,16.09525196,32.2249172,20.11906495
7,27.7816746,0.0,27.7573647146,4.827981944,27.7330548292,9.655963888,27.7087449438,14.483945831999998,27.6844350584,19.311927776,27.660125172999997,24.13990972
8,31.1353806,0.0,30.963762828000004,5.441498518,30.792145056000003,10.882997036,30.620527284000005,16.324495554,30.448909512000004,21.765994072,30.277291740000003,27.20749259
9,37.2348662,0.0,36.694916734,5.441510494,36.154967268,10.883020988,35.615017802,16.324531481999998,35.075068336,21.766041976,34.53511887,27.20755247
10,40.0628793,0.0,39.686933156,5.441510494,39.310987012,10.883020988,38.935040868,16.324531481999998,38.559094724000005,21.766041976,38.18314858,27.20755247
11,43.6825651,0.0,43.144441444,5.441510502,42.606317788,10.883021004,42.068194132,16.324531506,41.53007047599999,21.766042008,40.991946819999995,27.20755251
12,46.7337019,0.0,45.234818456,5.441510502,43.735935012,10.883021004,42.237051568,16.324531506,40.738168124,21.766042008,39.23928468,27.20755251
