heures,d2025,e2025,d2030,e2030,d2035,e2035,d2040,e2040,d2045,e2045,d2050,e2050
0,28.6900142,0.0,36.101709064,1.6026433778000002,43.513403928,3.2052867556000004,50.92509879199999,4.8079301334,58.336793656,6.410573511200001,65.74848852,8.013216889
1,31.2084578,0.0,38.496017452000004,1.6026433778000002,45.783577104,3.2052867556000004,53.071136755999994,4.8079301334,60.358696408,6.410573511200001,67.64625606,8.013216889
2,27.6996061,0.0,35.465571202,1.6026433778000002,43.231536304,3.2052867556000004,50.997501406,4.8079301334,58.763466508,6.410573511200001,66.52943161,8.013216889
3,27.9874884,0.0,35.837411744,1.6026433778000002,43.687335088,3.2052867556000004,51.537258431999994,4.8079301334,59.387181776,6.410573511200001,67.23710512,8.013216889
4,28.1626729,0.0,36.105345038,1.6026433778000002,44.048017176,3.2052867556000004,51.990689313999994,4.8079301334,59.93336145199999,6.410573511200001,67.87603358999999,8.013216889
5,28.0213627,0.0,35.515741922000004,1.6026433778000002,43.010121144,3.2052867556000004,50.504500366,4.8079301334,57.998879588,6.410573511200001,65.49325881,8.013216889
6,29.0016469,0.0,35.42345876,1.6026433778000002,41.84527062,3.2052867556000004,48.26708248,4.8079301334,54.688894340000004,6.410573511200001,61.1107062,8.013216889
7,27.7816746,0.0,34.552716904,1.6026433776000002,41.323759208,3.2052867552000004,48.094801512000004,4.8079301328,54.865843816,6.410573510400001,61.63688612,8.013216888
8,31.1353806,0.0,39.390769118,1.6026433776000002,47.646157636,3.2052867552000004,55.901546153999995,4.8079301328,64.15693467199999,6.410573510400001,72.41232319,8.013216888
9,37.2348662,0.0,45.848134754,1.6026433789999999,54.461403308,3.2052867579999997,63.074671862,4.807930137,71.687940416,6.4105735159999995,80.30120897,8.013216895
10,40.0628793,0.0,48.968128718,1.6026433791999999,57.873378136,3.2052867583999998,66.778627554,4.8079301376,75.68387697200001,6.4105735167999995,84.58912639,8.013216896
11,43.6825651,0.0,51.22341992,1.6026433791999999,58.76427474,3.2052867583999998,66.30512956,4.8079301376,73.84598438,6.4105735167999995,81.3868392,8.013216896
12,46.7337019,0.0,51.466399908,1.6026433791999999,56.199097916,3.2052867583999998,60.931795924,4.8079301376,65.664493932,6.4105735167999995,70.39719194,8.013216896
13,44.5226231,0.0,50.372842772,1.6026433791999999,56.22306244399999,3.2052867583999998,62.073282115999994,4.8079301376,67.92350178799998,6.4105735167999995,73.77372145999999,8.013216896
14,37.0667566,0.0,45.132692188,1.6026433785999998,53.198627775999995,3.2052867571999997,61.264563364,4.8079301357999995,69.330498952,6.410573514399999,77.39643454,8.013216893
15,33.4570634,0.0,42.087036568,1.6026433516000003,50.717009736,3.2052867032000005,59.346982904,4.8079300548,67.97695607200001,6.410573406400001,76.60692924,8.013216758
16,31.3764587,0.0,40.738498572,1.4775633896000002,50.100538444,2.9551267792000004,59.462578316,4.4326901688,68.824618188,5.910253558400001,78.18665806,7.387816948
17,32.2458528,0.0,42.261608898000006,1.4071750188,52.277364996,2.8143500376,62.293121094,4.2215250564,72.308877192,5.6287000752,82.32463329,7.035875094
18,34.0323342,0.0,45.1853169844,1.4071742266,56.33829976880001,2.8143484532,67.49128255320001,4.2215226798,78.64426533760002,5.6286969064,89.79724812200001,7.035871133
19,37.0129465,0.0,48.5421687824,1.4071739770000002,60.0713910648,2.8143479540000005,71.6006133472,4.221521931,83.1298356296,5.628695908000001,94.659057912,7.035869885
20,40.3579671,0.0,50.4571861172,1.4071739742,60.556405134399995,2.8143479484,70.6556241516,4.2215219226,80.7548431688,5.6286958968,90.854062186,7.035869871
21,37.9364121,0.0,47.2579738042,1.477562196,56.5795355084,2.955124392,65.90109721259999,4.432686588,75.22265891679999,5.910248784,84.544220621,7.38781098
22,35.6285041,0.0,43.741685992,1.4775698572,51.854867884,2.9551397144,59.968049776,4.432709571599999,68.081231668,5.9102794288,76.19441356,7.387849286
23,31.3012444,0.0,39.845623546000006,1.4778529832,48.390002692,2.9557059664,56.93438183800001,4.4335589496,65.478760984,5.9114119328,74.02314013,7.389264916
24,32.1525173,0.0,40.74051377,1.4778639584000002,49.32851024,2.9557279168000004,57.91650670999999,4.4335918752,66.50450318,5.911455833600001,75.09249965,7.389319792
25,34.4690083,0.0,42.877918552000004,1.477891863,51.286828804,2.955783726,59.695739056,4.433675589,68.104649308,5.911567452,76.51355956,7.389459315
26,31.9061382,0.0,41.019876264000004,1.4779821540000002,50.13361432800001,2.9559643080000004,59.247352391999996,4.433946462,68.361090456,5.911928616000001,77.47482852,7.38991077
27,31.5493311,0.0,40.864368444,1.4780567048000002,50.179405788,2.9561134096000004,59.494443131999994,4.4341701144,68.809480476,5.912226819200001,78.12451782,7.390283524
28,31.2873891,0.0,40.1792449,1.4782149962000002,49.0711007,2.9564299924000004,57.96295649999999,4.4346449886,66.85481229999999,5.912859984800001,75.7466681,7.391074981
29,30.0857013,0.0,39.219786248000005,1.478560557,48.353871196,2.957121114,57.487956144,4.435681670999999,66.622041092,5.914242228,75.75612604,7.392802785
30,31.4038857,0.0,40.87092921200001,1.4794575574,50.337972724000004,2.9589151148,59.80501623600001,4.4383726722,69.272059748,5.9178302296,78.73910326000001,7.397287787
31,35.1676041,0.0,45.09615891,1.5776383598000001,55.024713719999994,3.1552767196000002,64.95326853,4.7329150794,74.88182333999998,6.3105534392000004,84.81037814999999,7.888191799
32,35.8261214,0.0,46.3058884,1.6026433720000002,56.785655399999996,3.2052867440000004,67.2654224,4.807930116,77.7451894,6.410573488000001,88.2249564,8.01321686
33,39.428769,0.0,50.697688256000006,1.6026433724000002,61.966607511999996,3.2052867448000004,73.235526768,4.8079301172,84.504446024,6.410573489600001,95.77336528,8.013216862
34,51.4272051,0.0,61.607825442000006,1.6026433724000002,71.788445784,3.2052867448000004,81.969066126,4.8079301172,92.149686468,6.410573489600001,102.33030681,8.013216862
35,55.9403869,0.0,65.498616352,1.6026433726000002,75.056845804,3.2052867452000005,84.61507525600001,4.8079301178,94.173304708,6.410573490400001,103.73153416000001,8.013216863
36,59.5799479,0.0,67.128391494,1.6026433728000002,74.67683508799999,3.2052867456000005,82.225278682,4.8079301184,89.773722276,6.410573491200001,97.32216586999999,8.013216864
37,57.8319686,0.0,66.032883368,1.6026433726000002,74.233798136,3.2052867452000005,82.43471290400001,4.8079301178,90.635627672,6.410573490400001,98.83654244,8.013216863
38,54.2666448,0.0,62.480085754,1.6026433724000002,70.69352670800001,3.2052867448000004,78.906967662,4.8079301172,87.120408616,6.410573489600001,95.33384957,8.013216862
39,50.8549101,0.0,58.9914924,1.6026433716000001,67.1280747,3.2052867432000003,75.264657,4.8079301147999995,83.4012393,6.410573486400001,91.5378216,8.013216858
40,40.2052368,0.0,51.352967376,1.6026433706,62.500697952,3.2052867412,73.648428528,4.807930111799999,84.796159104,6.4105734824,95.94388968,8.013216853
41,40.5821938,0.0,52.948743946,1.6026433696000002,65.315294092,3.2052867392000004,77.681844238,4.8079301088,90.048394384,6.410573478400001,102.41494453,8.013216848
42,45.9555047,0.0,59.23651701,1.6026433690000002,72.51752932,3.2052867380000003,85.79854162999999,4.807930107,99.07955394,6.410573476000001,112.36056624999999,8.013216845
43,49.2856458,0.0,63.107116751999996,1.6026433688000001,76.928587704,3.2052867376000003,90.750058656,4.8079301064,104.571529608,6.4105734752000005,118.39300056,8.013216844
44,43.8713254,0.0,57.600311330000004,1.6026433690000002,71.32929726,3.2052867380000003,85.05828319,4.807930107,98.78726911999999,6.410573476000001,112.51625505,8.013216845
45,43.169456,0.0,55.114820776,1.60264337,67.06018555200001,3.20528674,79.005550328,4.807930109999999,90.950915104,6.41057348,102.89627988000001,8.01321685
46,44.2828854,0.0,52.394952251999996,1.6026433746,60.507019103999994,3.2052867492,68.61908595599999,4.807930123799999,76.73115280799999,6.4105734984,84.84321965999999,8.013216873
47,40.9690453,0.0,49.016944904,1.602643375,57.06484450799999,3.20528675,65.112744112,4.8079301249999995,73.16064371599998,6.4105735,81.20854331999999,8.013216875
48,41.346593,0.0,49.564388046000005,1.6026433748,57.782183092,3.2052867496,65.999978138,4.8079301243999994,74.21777318400001,6.4105734992,82.43556823,8.013216874
49,50.1122722,0.0,56.853999622,1.6026433748,63.595727044,3.2052867496,70.337454466,4.8079301243999994,77.079181888,6.4105734992,83.82090931,8.013216874
50,47.8975684,0.0,54.944058946,1.6026433748,61.990549492,3.2052867496,69.037040038,4.8079301243999994,76.08353058400002,6.4105734992,83.13002113,8.013216874
51,48.2704855,0.0,55.470722472000006,1.6026433748,62.670959444,3.2052867496,69.871196416,4.8079301243999994,77.071433388,6.4105734992,84.27167036,8.013216874
52,48.4922976,0.0,55.578458888,1.602643375,62.664620176,3.20528675,69.750781464,4.8079301249999995,76.836942752,6.4105735,83.92310404,8.013216875
53,49.199161,0.0,55.686933932,1.6026433768000001,62.174706864,3.2052867536000003,68.66247979600001,4.8079301304,75.150252728,6.4105735072000005,81.63802566000001,8.013216884
54,50.2293381,0.0,56.25603058,1.6026433770000001,62.282723059999995,3.2052867540000003,68.30941553999999,4.807930131,74.33610802,6.410573508000001,80.36280049999999,8.013216885
55,55.6528706,0.0,59.96663993200001,1.6026433770000001,64.280409264,3.2052867540000003,68.594178596,4.807930131,72.907947928,6.410573508000001,77.22171726,8.013216885
56,59.8908809,0.0,66.176571728,1.6026433791999999,72.462262556,3.2052867583999998,78.747953384,4.8079301376,85.033644212,6.4105735167999995,91.31933504,8.013216896
57,65.4294007,0.0,71.78578243,1.6026433791999999,78.14216416,3.2052867583999998,84.49854589,4.8079301376,90.85492762,6.4105735167999995,97.21130935,8.013216896
58,66.7758306,0.0,73.70639604000002,1.6026433791999999,80.63696148,3.2052867583999998,87.56752691999999,4.8079301376,94.49809236,6.4105735167999995,101.4286578,8.013216896
59,73.2436127,0.0,79.072725898,1.6026433791999999,84.901839096,3.2052867583999998,90.73095229399999,4.8079301376,96.56006549199999,6.4105735167999995,102.38917869,8.013216896
60,76.8754487,0.0,80.56199424600001,1.6026433791999999,84.248539792,3.2052867583999998,87.93508533800001,4.8079301376,91.621630884,6.4105735167999995,95.30817643,8.013216896
61,76.5047206,0.0,79.561705758,1.6026433791999999,82.61869091599999,3.2052867583999998,85.675676074,4.8079301376,88.732661232,6.4105735167999995,91.78964639,8.013216896
62,70.2312432,0.0,74.812797978,1.6026433791999999,79.394352756,3.2052867583999998,83.975907534,4.8079301376,88.55746231200001,6.4105735167999995,93.13901709000001,8.013216896
63,64.6020523,0.0,69.744710974,1.6026433789999999,74.887369648,3.2052867579999997,80.03002832199999,4.807930137,85.172686996,6.4105735159999995,90.31534567,8.013216895
64,62.7703058,0.0,68.12372344,1.6026433774000002,73.47714108,3.2052867548000004,78.83055872,4.8079301322,84.18397636,6.410573509600001,89.53739399999999,8.013216887
65,59.6317552,0.0,65.876288346,1.6026433774000002,72.120821492,3.2052867548000004,78.365354638,4.8079301322,84.60988778400001,6.410573509600001,90.85442093,8.013216887
66,62.8229686,0.0,68.89509261200001,1.6026433770000001,74.967216624,3.2052867540000003,81.03934063599999,4.807930131,87.11146464800001,6.410573508000001,93.18358866,8.013216885
67,66.073383,0.0,71.864620938,1.6026433768000001,77.655858876,3.2052867536000003,83.447096814,4.8079301304,89.238334752,6.4105735072000005,95.02957269,8.013216884
68,64.0973268,0.0,69.78172198200001,1.6026433770000001,75.466117164,3.2052867540000003,81.150512346,4.807930131,86.834907528,6.410573508000001,92.51930271,8.013216885
69,59.0162649,0.0,64.64724215000001,1.6026433772000002,70.2782194,3.2052867544000003,75.90919665,4.8079301316,81.54017389999998,6.410573508800001,87.17115114999999,8.013216886
70,58.2811775,0.0,62.553725458,1.6026433789999999,66.82627341599999,3.2052867579999997,71.09882137400001,4.807930137,75.371369332,6.4105735159999995,79.64391729,8.013216895
71,51.8974926,0.0,56.362281504,1.6026433791999999,60.827070408,3.2052867583999998,65.291859312,4.8079301376,69.756648216,6.4105735167999995,74.22143712,8.013216896
72,51.2740159,0.0,57.035747554000004,1.6026433791999999,62.797479208,3.2052867583999998,68.559210862,4.8079301376,74.32094251599999,6.4105735167999995,80.08267416999999,8.013216896
73,51.8529816,0.0,56.585001298,1.6026433791999999,61.317020996,3.2052867583999998,66.049040694,4.8079301376,70.781060392,6.4105735167999995,75.51308009,8.013216896
74,49.7748842,0.0,54.633092744,1.6026433791999999,59.491301288,3.2052867583999998,64.349509832,4.8079301376,69.207718376,6.4105735167999995,74.06592692,8.013216896
75,50.2831234,0.0,55.211243936,1.6026433791999999,60.139364472,3.2052867583999998,65.06748500799999,4.8079301376,69.995605544,6.4105735167999995,74.92372608,8.013216896
76,50.6861656,0.0,54.58143882600001,1.6026433791999999,58.47671205200001,3.2052867583999998,62.37198527800001,4.8079301376,66.26725850400001,6.4105735167999995,70.16253173000001,8.013216896
77,51.9545043,0.0,54.923177892000005,1.6026433791999999,57.891851484,3.2052867583999998,60.860525075999995,4.8079301376,63.82919866799999,6.4105735167999995,66.79787225999999,8.013216896
78,51.8197039,0.0,54.356150344,1.6026433791999999,56.892596788000006,3.2052867583999998,59.429043232000005,4.8079301376,61.96548967600001,6.4105735167999995,64.50193612000001,8.013216896
79,53.8525221,0.0,55.26066097600001,1.6026433791999999,56.668799852,3.2052867583999998,58.076938728,4.8079301376,59.485077604,6.4105735167999995,60.89321648,8.013216896
80,58.3450983,0.0,60.17756339,1.6026433794,62.01002848,3.2052867588,63.84249357,4.8079301382,65.67495866,6.4105735176,67.50742375,8.013216897
81,66.1481984,0.0,68.477531576,1.6026436412,70.806864752,3.2052872824,73.136197928,4.8079309236,75.465531104,6.4105745648,77.79486428,8.013218206
82,70.6884462,0.0,73.206835688,1.6026436412,75.72522517600001,3.2052872824,78.243614664,4.8079309236,80.762004152,6.4105745648,83.28039364,8.013218206
83,75.2819394,0.0,77.105102902,1.6026436412,78.928266404,3.2052872824,80.751429906,4.8079309236,82.574593408,6.4105745648,84.39775691,8.013218206
84,79.0505936,0.0,79.304145624,1.6026436412,79.557697648,3.2052872824,79.811249672,4.8079309236,80.064801696,6.4105745648,80.31835372,8.013218206
85,79.1832028,0.0,79.84401984200001,1.6026436412,80.504836884,3.2052872824,81.165653926,4.8079309236,81.826470968,6.4105745648,82.48728801,8.013218206
86,69.1020474,0.0,71.909785342,1.6026433794,74.71752328400001,3.2052867588,77.525261226,4.8079301382,80.332999168,6.4105735176,83.14073711,8.013216897
87,65.169574,0.0,67.7220249,1.6026433791999999,70.27447579999999,3.2052867583999998,72.8269267,4.8079301376,75.3793776,6.4105735167999995,77.9318285,8.013216896
88,64.2710643,0.0,67.10992065,1.6026433791999999,69.948777,3.2052867583999998,72.78763335,4.8079301376,75.6264897,6.4105735167999995,78.46534605,8.013216896
89,64.0792279,0.0,67.322585556,1.6026433791999999,70.56594321200001,3.2052867583999998,73.80930086800001,4.8079301376,77.05265852400001,6.4105735167999995,80.29601618000001,8.013216896
90,67.1707835,0.0,70.643758478,1.6026433791999999,74.11673345599999,3.2052867583999998,77.589708434,4.8079301376,81.062683412,6.4105735167999995,84.53565839,8.013216896
91,70.1764894,0.0,73.944058476,1.6026433791999999,77.711627552,3.2052867583999998,81.479196628,4.8079301376,85.246765704,6.4105735167999995,89.01433478,8.013216896
92,64.9604004,0.0,69.89098640600001,1.6026433791999999,74.821572412,3.2052867583999998,79.752158418,4.8079301376,84.682744424,6.4105735167999995,89.61333043,8.013216896
93,62.0103407,0.0,66.758683468,1.6026433791999999,71.507026236,3.2052867583999998,76.25536900399999,4.8079301376,81.00371177199999,6.4105735167999995,85.75205453999999,8.013216896
